slug,veredicto,detalle
dentista-b-claro,OK,
dentista-b-oscuro-premium,OK,
dentista-b-azul-cian,OK,
dentista-b-teal,OK,
abogado-b-claro,OK,
abogado-claro,OK,
abogado-b-oscuro-premium,OK,
abogado-oscuro-premium,OK,
abogado-b-azul-cian,OK,
inmobiliaria-b-claro,OK,
inmobiliaria-claro,OK,
inmobiliaria-b-oscuro-premium,OK,
inmobiliaria-oscuro-premium,OK,
veterinaria-b-claro,OK,
veterinaria-b-oscuro,OK,
veterinaria-b-teal,OK,
software-b-claro,OK,
software-claro,OK,
software-b-oscuro-premium,OK,
software-oscuro-premium,OK,
software-b-azul-cian,OK,
gimnasio-claro,OK,
gimnasio-oscuro-premium,OK,
arquitectura-b-claro,OK,
arquitectura-claro,OK,
arquitectura-b-oscuro,OK,
arquitectura-oscuro-premium,OK,
clinica-claro,OK,
contador-claro,OK,
concesionaria-eter-claro,OK,
concesionaria-noctua-oscuro,OK,
ecommerce-claro,OK,
diseno-claro,OK,
distribuidora-eter-claro,OK,
distribuidora-noctua-oscuro,OK,
kinesiologia-eter-claro,OK,
kinesiologia-noctua-oscuro,OK,
ferreteria-eter-claro,OK,
ferreteria-noctua-oscuro,OK,
universidad-eter-claro,OK,
universidad-noctua-oscuro,OK,
repuestos-eter-claro,OK,
repuestos-noctua-oscuro,OK,
neumaticos-eter-claro,OK,
neumaticos-noctua-oscuro,OK,
laboratorio-eter-claro,OK,
laboratorio-noctua-oscuro,OK,
centro-medico-eter-claro,OK,
centro-medico-noctua-oscuro,OK,
vinedo-eter-claro,OK,
vinedo-noctua-oscuro,OK,
salud-mental-eter-claro,OK,
salud-mental-noctua-oscuro,OK,
marketing-b-claro,OK,
marketing-claro,OK,
marketing-b-oscuro,OK,
marketing-oscuro-premium,OK,
marketing-b-azul-cian,OK,
eter-claro,OK,
noctua-oscuro,OK,
alba,OK,
bruma,OK,
casonorte,OK,
lumen,OK,
pausa,OK,
minimayorista,OK,
