#,slug,rubro,familia,fase,marca,estado
6,dentista-b-claro,dentista,claro,B,SERENA DENTAL,pendiente_ingesta
8,dentista-b-oscuro-premium,dentista,oscuro,B,OBSIDIANA,en_build
7,dentista-b-azul-cian,dentista,azul-cian,B,AZURA,done
9,dentista-b-teal,dentista,teal,B,LAGO AZUL,pendiente_ingesta
3,abogado-b-claro,abogado,claro,B,Bravo,media_generando
1,abogado-claro,abogado,claro,A,Estudio,pendiente_media
4,abogado-b-oscuro-premium,abogado,oscuro,B,VALPARAISO,pendiente_media
2,abogado-oscuro-premium,abogado,oscuro,A,RIVERA,pendiente_media
5,abogado-b-azul-cian,abogado,azul-cian,B,Arrieta,pendiente_media
12,inmobiliaria-b-claro,inmobiliaria,claro,B,Alameda,pendiente_media
10,inmobiliaria-claro,inmobiliaria,claro,A,Meridiano,pendiente_media
13,inmobiliaria-b-oscuro-premium,inmobiliaria,oscuro,B,CUMBRES,pendiente_media
11,inmobiliaria-oscuro-premium,inmobiliaria,oscuro,A,ALTAMAR,pendiente_media
14,veterinaria-b-claro,veterinaria,claro,B,Vet,pendiente_media
15,veterinaria-b-oscuro,veterinaria,oscuro,B,VEGA,pendiente_media
16,veterinaria-b-teal,veterinaria,teal,B,Aurea,pendiente_media
24,software-b-claro,software,claro,B,BALIZA,pendiente_media
22,software-claro,software,claro,A,Cordillera,pendiente_media
25,software-b-oscuro-premium,software,oscuro,B,UMBRAL,pendiente_media
23,software-oscuro-premium,software,oscuro,A,Vertice,pendiente_media
26,software-b-azul-cian,software,azul-cian,B,ALTIVA,pendiente_media
27,gimnasio-claro,gimnasio,claro,A,ALBA,pendiente_media
28,gimnasio-oscuro-premium,gimnasio,oscuro,A,FORJA,pendiente_media
31,arquitectura-b-claro,arquitectura,claro,B,NORTE,pendiente_media
29,arquitectura-claro,arquitectura,claro,A,Estudio,pendiente_media
32,arquitectura-b-oscuro,arquitectura,oscuro,B,UMBRAL,pendiente_media
30,arquitectura-oscuro-premium,arquitectura,oscuro,A,UMBRAL,pendiente_media
33,clinica-claro,clinica,claro,A,ALBOR,pendiente_media
34,contador-claro,contador,claro,A,FOLIO,pendiente_media
43,concesionaria-eter-claro,concesionaria,claro,A,ETER,pendiente_media
44,concesionaria-noctua-oscuro,concesionaria,oscuro,A,NOCTUA,pendiente_media
35,ecommerce-claro,ecommerce,claro,A,Bazar Austral,pendiente_media
36,diseno-claro,diseno-digital,claro,A,TRAMA,pendiente_media
45,distribuidora-eter-claro,distribuidora,claro,A,ETER,pendiente_media
46,distribuidora-noctua-oscuro,distribuidora,oscuro,A,NOCTUA,pendiente_media
37,kinesiologia-eter-claro,kinesiologia,claro,A,ETER,pendiente_media
38,kinesiologia-noctua-oscuro,kinesiologia,oscuro,A,NOCTUA,pendiente_media
47,ferreteria-eter-claro,ferreteria-industrial,claro,A,ETER,pendiente_media
48,ferreteria-noctua-oscuro,ferreteria-industrial,oscuro,A,NOCTUA,pendiente_media
55,universidad-eter-claro,universidad,claro,A,ETER,pendiente_media
56,universidad-noctua-oscuro,universidad,oscuro,A,NOCTUA,pendiente_media
49,repuestos-eter-claro,repuestos,claro,A,ETER,pendiente_media
50,repuestos-noctua-oscuro,repuestos,oscuro,A,NOCTUA,pendiente_media
51,neumaticos-eter-claro,neumaticos,claro,A,ETER,pendiente_media
52,neumaticos-noctua-oscuro,neumaticos,oscuro,A,NOCTUA,pendiente_media
41,laboratorio-eter-claro,laboratorio,claro,A,ETER,pendiente_media
42,laboratorio-noctua-oscuro,laboratorio,oscuro,A,NOCTUA,pendiente_media
39,centro-medico-eter-claro,centro-medico,claro,A,ETER,pendiente_media
40,centro-medico-noctua-oscuro,centro-medico,oscuro,A,NOCTUA,pendiente_media
53,vinedo-eter-claro,vinedo,claro,A,ETER,pendiente_media
54,vinedo-noctua-oscuro,vinedo,oscuro,A,NOCTUA,pendiente_media
57,salud-mental-eter-claro,salud-mental,claro,A,ETER,pendiente_media
58,salud-mental-noctua-oscuro,salud-mental,oscuro,A,NOCTUA,pendiente_media
19,marketing-b-claro,marketing,claro,B,PULSO,pendiente_media
17,marketing-claro,marketing,claro,A,CRITERIO,pendiente_media
20,marketing-b-oscuro,marketing,oscuro,B,BRUJULA,pendiente_media
18,marketing-oscuro-premium,marketing,oscuro,A,FOCO,pendiente_media
21,marketing-b-azul-cian,marketing,azul-cian,B,PULSO,pendiente_media
59,eter-claro,demo,claro,demo,ETER,pendiente_media
60,noctua-oscuro,demo,oscuro,demo,NOCTUA,pendiente_media
61,alba,demo,claro,demo,ALBA,pendiente_media
62,bruma,demo,claro,demo,BRUMA,pendiente_media
63,casonorte,demo,claro,demo,CASA NORTE,pendiente_media
64,lumen,demo,oscuro,demo,LUMEN,pendiente_media
65,pausa,demo,claro,demo,PAUSA,pendiente_media
66,minimayorista,demo,oscuro,demo,ABASTO,pendiente_media
