fecha_fin,slug,etapa,inicio,duracion_min,perfil
2026-08-31 00:04:52,dentista-b-azul-cian,arquitecto,2026-08-30 23:52:02,12.8,orbita-v5-arquitecto-2
2026-08-31 00:13:18,dentista-b-teal,director_visual,2026-08-31 00:10:15,3.1,orbita-v5-director-visual
2026-08-31 12:34:52,dentista-b-claro,arquitecto,2026-08-30 23:52:22,762.5,orbita-v5-arquitecto-1
2026-08-31 12:34:52,dentista-b-oscuro-premium,arquitecto,2026-08-30 23:58:21,756.5,orbita-v5-arquitecto-2
2026-08-31 12:34:52,dentista-b-azul-cian,arquitecto,2026-08-31 00:05:41,749.2,orbita-v5-arquitecto-2
2026-08-31 12:34:52,abogado-b-claro,arquitecto,2026-08-31 00:19:12,735.7,orbita-v5-arquitecto-1
2026-08-31 12:34:52,abogado-claro,arquitecto,2026-08-31 00:25:31,729.4,orbita-v5-arquitecto-2
2026-08-31 12:34:52,abogado-b-oscuro-premium,arquitecto,2026-08-31 00:32:14,722.6,orbita-v5-arquitecto-1
2026-08-31 12:34:52,abogado-oscuro-premium,arquitecto,2026-08-31 00:43:16,711.6,orbita-v5-arquitecto-1
2026-08-31 12:34:52,abogado-b-azul-cian,arquitecto,2026-08-31 00:49:16,705.6,orbita-v5-arquitecto-2
2026-08-31 12:34:52,inmobiliaria-b-claro,arquitecto,2026-08-31 00:55:17,699.6,orbita-v5-arquitecto-1
2026-08-31 12:34:52,inmobiliaria-claro,arquitecto,2026-08-31 01:01:18,693.6,orbita-v5-arquitecto-2
2026-08-31 12:34:52,inmobiliaria-b-oscuro-premium,arquitecto,2026-08-31 01:07:20,687.5,orbita-v5-arquitecto-1
2026-08-31 12:34:52,inmobiliaria-oscuro-premium,arquitecto,2026-08-31 01:13:21,681.5,orbita-v5-arquitecto-1
2026-08-31 12:34:52,veterinaria-b-claro,arquitecto,2026-08-31 01:19:24,675.5,orbita-v5-arquitecto-2
2026-08-31 12:34:52,veterinaria-b-teal,arquitecto,2026-08-31 01:19:22,675.5,orbita-v5-arquitecto-2
2026-08-31 14:17:36,veterinaria-b-oscuro,arquitecto,2026-08-31 01:25:23,772.2,orbita-v5-arquitecto-1
2026-08-31 14:17:36,software-b-oscuro-premium,arquitecto,2026-08-31 01:37:35,760.0,orbita-v5-arquitecto-1
2026-08-31 14:23:02,software-b-azul-cian,arquitecto,2026-08-31 13:20:57,62.1,orbita-v5-arquitecto-3
2026-08-31 14:23:07,veterinaria-b-teal,arquitecto,2026-08-31 14:17:38,5.5,orbita-v5-arquitecto-2
2026-08-31 14:23:07,veterinaria-b-teal,director_visual,2026-08-31 14:17:38,5.5,orbita-v5-director-visual
2026-08-31 14:23:07,software-b-claro,arquitecto,2026-08-31 01:25:22,777.8,orbita-v5-arquitecto-1
2026-08-31 14:23:07,software-claro,arquitecto,2026-08-31 01:31:28,771.7,orbita-v5-arquitecto-1
2026-08-31 14:23:07,software-oscuro-premium,arquitecto,2026-08-31 13:20:55,62.2,orbita-v5-arquitecto-2
2026-08-31 14:28:47,software-b-claro,arquitecto,2026-08-31 14:23:09,5.6,orbita-v5-arquitecto-1
2026-08-31 14:28:47,software-b-claro,director_visual,2026-08-31 14:23:09,5.6,orbita-v5-director-visual
2026-08-31 14:28:47,gimnasio-claro,arquitecto,2026-08-31 14:17:35,11.2,orbita-v5-arquitecto-4
2026-08-31 14:28:47,gimnasio-oscuro-premium,arquitecto,2026-08-31 14:17:36,11.2,orbita-v5-arquitecto-5
2026-08-31 14:31:32,software-claro,arquitecto,2026-08-31 14:28:49,2.7,orbita-v5-arquitecto-1
2026-08-31 14:31:32,software-claro,director_visual,2026-08-31 14:28:49,2.7,orbita-v5-director-visual
2026-08-31 14:31:32,arquitectura-claro,arquitecto,2026-08-31 14:23:07,8.4,orbita-v5-arquitecto-2
2026-08-31 14:34:05,arquitectura-b-claro,arquitecto,2026-08-31 14:23:05,11.0,orbita-v5-arquitecto-1
2026-08-31 14:34:05,arquitectura-b-oscuro,arquitecto,2026-08-31 14:28:44,5.4,orbita-v5-arquitecto-3
2026-08-31 14:34:11,software-b-oscuro-premium,arquitecto,2026-08-31 14:31:34,2.6,orbita-v5-arquitecto-1
2026-08-31 14:34:11,software-b-oscuro-premium,director_visual,2026-08-31 14:31:34,2.6,orbita-v5-director-visual
2026-08-31 14:39:46,software-oscuro-premium,arquitecto,2026-08-31 14:34:14,5.5,orbita-v5-arquitecto-2
2026-08-31 14:39:46,software-oscuro-premium,director_visual,2026-08-31 14:34:14,5.5,orbita-v5-director-visual
2026-08-31 14:39:46,arquitectura-oscuro-premium,arquitecto,2026-08-31 14:28:46,11.0,orbita-v5-arquitecto-4
2026-08-31 14:39:46,clinica-claro,arquitecto,2026-08-31 14:31:29,8.3,orbita-v5-arquitecto-2
2026-08-31 14:39:46,contador-claro,arquitecto,2026-08-31 14:31:32,8.2,orbita-v5-arquitecto-5
2026-08-31 14:45:10,software-b-azul-cian,arquitecto,2026-08-31 14:39:48,5.4,orbita-v5-arquitecto-3
2026-08-31 14:45:10,software-b-azul-cian,director_visual,2026-08-31 14:39:48,5.4,orbita-v5-director-visual
2026-08-31 14:45:10,concesionaria-eter-claro,arquitecto,2026-08-31 14:34:08,11.0,orbita-v5-arquitecto-6
2026-08-31 14:45:10,concesionaria-noctua-oscuro,arquitecto,2026-08-31 14:34:11,11.0,orbita-v5-arquitecto-7
2026-08-31 14:50:51,gimnasio-claro,arquitecto,2026-08-31 14:45:13,5.6,orbita-v5-arquitecto-4
2026-08-31 14:50:51,gimnasio-claro,director_visual,2026-08-31 14:45:13,5.6,orbita-v5-director-visual
2026-08-31 14:50:51,ecommerce-claro,arquitecto,2026-08-31 14:39:44,11.1,orbita-v5-arquitecto-1
2026-08-31 14:50:51,diseno-claro,arquitecto,2026-08-31 14:39:46,11.1,orbita-v5-arquitecto-2
2026-08-31 14:56:14,gimnasio-oscuro-premium,arquitecto,2026-08-31 14:50:52,5.4,orbita-v5-arquitecto-5
2026-08-31 14:56:14,gimnasio-oscuro-premium,director_visual,2026-08-31 14:50:52,5.4,orbita-v5-director-visual
